Country;ExchangeName;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Kazakhstan;Kazakhstan Stock Exchange;0;0;1289.44;2425.9;3941.88;10528.66;43688.35;41377.5;23271.81;27929.37;26672.73;22537.31;0;26228.21;22973.44;34891.88;40129.89;45558.25;37005.25;44972.36;38173.18
Korea, Rep.;Korea Exchange;148361.2;194470.14;215894.37;298248.11;398558.87;718010.71;834404.28;1122606.33;470797.68;834596.86;1091911.46;996139.92;1179419.47;1234548.55;1212759.46;1231199.76;1282165.85;1771767.93;1413716.51;1484840.32;2176189.5
Slovenia;Ljubljana Stock Exchange;3099.65;3461.29;5577.9;7134.13;9676.81;7898.88;15181.75;28859.82;11799.39;12140.92;9428.35;6325.86;6474.85;7128.43;7519.36;6034.99;5268.54;6318.34;7266.52;7923.3;8448.55
United Kingdom;LSE Group;0;0;0;0;0;0;0;0;0;3453622.12;3613063.97;3266418.15;3396504.93;4428975.32;4012882.25;3878774.25;3467434;4455408.11;3637996.04;4182873.43;4045597.13
Italy;LSE Group Borsa Italiana;768363.35;527467.28;477075.42;614841.57;789562.62;798072.87;1026504.21;1072534.68;522087.79;655848.25;535058.93;431486.43;481827.29;615462.31;587312.44;0;0;0;0;0;0
United Kingdom;LSE Group London Stock Exchange;2576991.34;2149500.8;1785199.55;2425822;2815928.03;3058182.42;3781358.5;3846461.88;1868152.97;2796444.32;2686880.88;2932240.87;3291640.12;3946884.73;3570893.5;0;0;0;0;0;0
Zambia;Lusaka SE;0;0.3;0;755.65;1649.98;2516.72;2952.56;0;0;0;0;3184.47;0;0;0;0;0;0;0;285.2;128.2
Luxembourg;Luxembourg Stock Exchange;34016.52;22710.36;24551.04;37333.21;50143.55;51248.41;79513.58;166078;66614.73;105048.19;101128.52;67627.42;70338.38;78640.84;63167.51;47131.38;60980.83;68639.08;49482.64;44233.61;51567.66
Malta;Malta Stock Exchange;2024.33;1356.87;1373.72;1850.38;2839.82;22233.02;4503.56;5633.4;3576.27;4080.3;4193.52;3428.91;3630.74;4472.01;3641.75;4405.32;4438.29;5171.19;5052.83;5315.94;5080.65
Seychelles;MERJ Exchange Limited;0;0;0;0;0;0;0;0;0;0;0;0;0;0.96;2.77;3.46;8.43;18.75;283.75;1136.54;1224.51
Russian Federation;MICEX;0;0;0;0;0;0;0;0;0;736306.71;949148.86;770609.01;0;0;0;0;0;0;0;0;0
Montenegro;Montenegro SE;0;0;0;0;0;0;0;0;3468.29;0;3222.75;3509.11;3787.24;0;0;0;0;0;0;0;0
Russian Federation;Moscow Exchange;0;0;0;0;0;0;0;0;0;0;0;730240.01;825340.47;770656.62;385926.68;393237.76;622051.53;623424.9;576116.34;791519.44;694739.21
Oman;Muscat Securities Market;4177.36;4063.1;0;0;9434.91;15268.93;16103.99;26682.25;20588.94;22468.97;20262.05;18267.87;20264.29;24579.95;24170.1;22231.74;23315.62;21298.88;18782.4;17119.48;16480.52
Kenya;Nairobi Securities Exchange;1255.39;1045.3;1431.29;4182.76;3890.97;6383.99;11378.04;13344.62;10854.1;10966.8;14460.87;10202.61;0;22573.72;26012.57;20429.38;19236.75;24231.56;0;25061.52;21398.33
Namibia;Namibian Stock Exchange;303.29;150.5;82.95;68961.05;92229.4;121337.8;157789.47;173587.29;48666.88;31091.01;1176.27;1152.43;0;1785.79;1924.03;1911.3;2355.58;2915.23;2461.94;2609.01;1867.17
United States;Nasdaq - US;3578593;2896856;1994494;2844192.55;3532912.03;3603984.87;3865003.6;4013650.32;2248976.47;3239492.44;3889369.88;3845131.59;4582389.09;6084969.72;6979171.95;7280752.17;7779127.03;10039335.64;9756836.14;13002048.01;19060372.31
Sweden;Nasdaq Nordic and Baltics;0;0;0;0;0;802561.36;1122705.06;1242577.94;563099.58;817222.78;1042153.74;842100.87;995719.17;1269213.9;1196725.42;1268042.33;1249627.58;1533497.28;1322817.45;1612576.96;2110440.09
Denmark;NASDAQ OMX Nordic Copenhagen;111818.64;85145.5;76749.87;121640.96;151349.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Finland;NASDAQ OMX Nordic Helsinki;33146.1;20391.53;15277.46;18763.32;20344.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Iceland;NASDAQ OMX Nordic Iceland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sweden;NASDAQ OMX Nordic Stockholm;328339.04;236514.39;179117.37;289877.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Latvia;NASDAQ OMX Riga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Estonia;NASDAQ OMX Tallinn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lithuania;NASDAQ OMX Vilnius;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
China;National Equities Exchange and Quotations;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54007.77;62300.67
India;National Stock Exchange of India;0;0;0;252893.38;363276.02;515972.48;774115.6;1660096.89;600281.63;1224806.44;1596625.26;985269.43;1234491.96;1112952.32;1520925.1;1485088.62;1534268.23;2351462.42;2056337.32;2162702.91;2552463.79
Nigeria;Nigerian Stock Exchange;0;0;2373.94;0;15865.94;22244;32830.51;84894.57;48062.28;32223.4;50546.4;39028.39;0;80818.61;62766.31;49973.88;28901.38;37217.62;31520.55;43921.6;56569.03
United States;NYSE;11442383;11026518;9015167;11328953.1;12707578.3;13310591.6;15421167.9;15650832.5;9208934.1;11837793.3;13394081.8;11795575.45;14085944.12;17949883.8;19351417.24;17786787.43;19573073.69;22081367.01;20679476.91;24480180.12;26232740
New Zealand;NZX Limited;18613.21;17821.78;21761.62;33049.76;43731.33;40592.46;44816.54;47485.6;24209.61;35506.85;0;;52870.1;65961.56;74415.69;74350.5;81662.27;92240.14;86132.63;107879.78;132198.46
Palestine;Palestine Exchange;453.1;512.32;418.35;461.18;777.42;3161.51;1933.36;1753.31;1820.56;2375.36;2449.9;2782.47;2859.14;3247.48;3187.26;3339.2;3390.12;3891.49;3734.92;3757.5;3446.91
Philippines;Philippine Stock Exchange;25980.66;21245.37;18507.43;23175.72;28601.91;39798.72;67851.74;102852.74;52030.6;86349.43;157320.5;165066.42;229316.64;217320.26;261840.67;238819.94;239882.39;290468.53;258155.66;275366.71;272790.29
Papua New Guinea;Port Moresby Stock Exchange;0;0;0;2962.56;3825.03;6138.41;7744.35;12960.83;11181.68;17514.14;11027.25;12592.45;0;2931.95;3310.54;1718.86;1643.14;1681.58;0;0;0
Czech Republic;Prague Stock Exchange;9746.16;8151.34;10279.91;15507.74;29569.21;36585.77;45698.44;70136.33;40912.35;0;0;0;0;0;0;0;0;0;26962.05;26313.1;26613.6
Qatar;Qatar Stock Exchange;0;0;0;0;0;0;0;0;76615.14;0;0;0;0;152576.23;185860.28;142556.46;154891.98;130610.06;163047.41;160050.72;165393.78
Russian Federation;RTS Exchange;0;0;0;0;0;0;0;0;0;761735.93;951295.57;783554.77;0;0;0;0;0;0;0;0;0
Rwanda;Rwanda Stock Exchange;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3426.45;3214.22;3493.65
Saudi Arabia;Saudi Stock Exchange (Tadawul);0;0;0;0;0;0;0;0;0;318733.68;353409.59;338873.29;373374.75;467365.78;483115.51;421060.07;448938.89;451378.84;496353.18;2406819.6;2429102.37
China;Shanghai Stock Exchange;0;0;0;360106.32;314315.71;286190.31;917507.53;3694347.97;1425354.02;2704778.46;2716470.22;2357423.32;2547203.79;2496989.93;3932527.68;4549288.03;4103990.42;5089631.28;3919420.26;5105840.94;6975970.45
China;Shenzhen Stock Exchange;0;0;0;152872.45;133404.55;115661.94;227947.34;784518.56;353430.02;868374;1311370.08;1054684.97;1150172.25;1452153.56;2072419.99;3638731.29;3216747.96;3621635.94;2405459.5;3409663.44;5238495.15
Singapore;Singapore Exchange;152826.41;115688.6;99806.73;148502.64;217495.36;257339.76;384286.35;539176.63;264974.4;481246.7;647226.41;598272.7;765077.96;744413.23;752831.01;639955.9;649455.88;787255.33;687257.16;697271.33;652614.66
Switzerland;SIX Swiss Exchange;792315.95;527355.9;612667.14;727102.78;829098.07;938697.66;1212534.3;1274656.7;880334.43;1064686.54;1229356.54;1089519.37;1233438.94;1540699.84;1495314.2;1519323.46;1414745.81;1686497.07;1441160.48;1834453.26;2001602.87
Mauritius;Stock Exchange of Mauritius;1242.68;978.11;1190.49;1895.49;2118.95;2326.32;4958.51;7919.08;4661.99;6582.05;7752.77;7845.15;7180.1;8942.35;8751.02;7238.55;7604.72;9742.92;9847.53;8615.77;6159.61
Indonesia;Surabaya;23338.73;44725.67;25702.38;48079.59;65218.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Swaziland;Swaziland;73.03;127.1;147.77;172.25;222.04;196.33;197.5;234.26;0;0;0;0;0;0;0;0;0;0;0;0;0
Australia;Sydney Stock Exchange;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46.28;119.61;134.51;102.41;0;0;0
Taiwan;Taipei Exchange;0;0;34848.73;35369.07;35422.22;39961.64;58292.16;57616.74;23527.03;59847.43;67808.89;44852.21;59849.91;78004.98;84822.47;83027.05;86117.52;111819.92;92477.75;114780.18;154931.03
Taiwan;Taiwan Stock Exchange;247601.87;292621.09;261211.41;379022.89;441435.78;476017.96;594659.35;663716.04;356710.56;658991.37;818490.46;635505.8;735292.57;822707.4;850943.07;744999.66;861861.15;1073079.44;959219.71;1217273.58;1598570.05
Iran, Islamic Rep.;Tehran Stock Exchange;26685.66;7381.24;11760.56;27544.17;42600.42;36440.22;36314.58;43885.01;48712.71;59183.54;86641.52;107089.65;90995.75;345776.63;113858.13;87245.91;101008.32;106328.8;143548.2;320671.17;1218392.23
Israel;Tel-Aviv Stock Exchange;66742.92;57655.94;42131.47;70169.06;91856.25;122577.93;161731.74;235056.38;107706.44;188733.9;227614.01;156938.65;161855.48;203301.35;200524.99;243903.68;215007.32;231048.76;187466.4;237371.16;262061.92
Egypt, Arab Rep.;The Egyptian Exchange;0;0;0;0;0;0;93496.4;139273.79;85978.07;91207.34;84276.83;48849.67;59181.97;61629.65;70083.65;55191.87;32118.41;46546.1;42005.55;44199.85;41351.18
United States;The International Stock Exchange;255.08;454.1;265.84;227.35;184.3;537.34;1479.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thailand;The Stock Exchange of Thailand;29217.4;35943.18;45504.36;119017.2;115390.38;123884.96;140161.28;197129.36;103128.24;176956.07;277731.74;268488.82;389756.32;354366.96;430426.61;348798.01;437313.79;548795.41;500741.03;569228.32;543164.6
Canada;TMX Group;770116.51;615265.93;573402.52;910230.61;1177517.94;1482184.56;1700708.09;2186550.15;1033448.53;1676814.19;2170432.73;1912121.91;2058838.69;2113821.77;2093696.8;1591928.59;2041533.8;2367059.92;1937902.71;2409098.54;2608376.9
Trinidad and Tobago;Trinidad and Tobago;3418.49;3889.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tunisia;Tunis Stock Exchange;0;0;0;0;0;0;0;0;0;0;10651.71;9661.97;0;8600.52;8743.77;8819.26;8450.2;8922.59;8328.99;8503.23;8571.71
Ukraine;Ukrainian Exchange;0;0;0;0;0;0;0;0;0;0;38897.4;25654.06;0;22049.07;12246.3;5719.59;4453.29;5198;4415.44;0;0
Austria;Vienna Stock Exchange;29935.22;25204.35;33578.12;56522.45;87776.27;126251.47;192770.31;236448.39;76288.7;114076.07;126031.96;85269.52;106036.78;117671.4;96790.33;96079.38;100317.1;150645.99;116802;133098.22;132083.25
Poland;Warsaw Stock Exchange;31279.37;26016.65;28380.43;37020.27;70530.89;94028.51;148848.93;211620.2;90815.49;150961.53;190705.94;138244.23;177408.38;204542.55;171220.41;137769.58;140858.76;201392.89;160482.62;151618.86;177508.14
Croatia;Zagreb Stock Exchange;2744.64;3127.5;8109.77;6125.73;10958.64;12918.19;29005.63;70222.95;27126.48;26618.99;25596.13;22558.38;0;21484.74;20036.88;18414.47;20180.81;22764.8;20633.17;22458.26;22229.99
