DATE,RMFNS
2018-10-01,795.1
2018-11-01,808.5
2018-12-01,833.7
2019-01-01,882.4
2019-02-01,883.1
2019-03-01,896.2
2019-04-01,897.9
2019-05-01,894.8
2019-06-01,903.2
2019-07-01,921.6
2019-08-01,935.7
2019-09-01,955.3
2019-10-01,982.5
2019-11-01,997.9
2019-12-01,1005.6
2020-01-01,1015.8
2020-02-01,1007.9
2020-03-01,1051.8
2020-04-01,1116.9
2020-05-01,1141.5
2020-06-01,1135.5
2020-07-01,1116.7
2020-08-01,1100.3
2020-09-01,1087.4
2020-10-01,1085.4
2020-11-01,1093.0
2020-12-01,1082.6
2021-01-01,1089.3
2021-02-01,1082.3
