DATE,M1
1989-07-01,777.3400000000000000
1989-08-01,779.5500000000000000
1989-09-01,780.2750000000000000
1989-10-01,786.1200000000000000
1989-11-01,787.8000000000000000
1989-12-01,791.1000000000000000
1990-01-01,795.4600000000000000
1990-02-01,797.3750000000000000
1990-03-01,800.8500000000000000
1990-04-01,805.4800000000000000
1990-05-01,804.2500000000000000
1990-06-01,808.1000000000000000
1990-07-01,810.5400000000000000
1990-08-01,815.3500000000000000
1990-09-01,819.6250000000000000
1990-10-01,820.3400000000000000
1990-11-01,822.9750000000000000
1990-12-01,823.6600000000000000
1991-01-01,826.7250000000000000
1991-02-01,832.2000000000000000
1991-03-01,836.8250000000000000
1991-04-01,843.4000000000000000
1991-05-01,848.8000000000000000
1991-06-01,854.0750000000000000
1991-07-01,861.5800000000000000
1991-08-01,866.4250000000000000
1991-09-01,869.9800000000000000
1991-10-01,877.5750000000000000
1991-11-01,885.5500000000000000
1991-12-01,896.6800000000000000
1992-01-01,909.0500000000000000
1992-02-01,923.8250000000000000
1992-03-01,935.1600000000000000
1992-04-01,943.4000000000000000
1992-05-01,949.5000000000000000
1992-06-01,954.0400000000000000
1992-07-01,962.8250000000000000
1992-08-01,972.8200000000000000
1992-09-01,987.3000000000000000
1992-10-01,1001.8250000000000000
1992-11-01,1015.1600000000000000
1992-12-01,1024.6250000000000000
1993-01-01,1029.8500000000000000
1993-02-01,1032.5500000000000000
1993-03-01,1037.4000000000000000
1993-04-01,1046.0000000000000000
1993-05-01,1064.6000000000000000
1993-06-01,1074.8500000000000000
1993-07-01,1083.6000000000000000
1993-08-01,1093.2000000000000000
1993-09-01,1103.6000000000000000
1993-10-01,1111.0500000000000000
1993-11-01,1123.3000000000000000
1993-12-01,1129.7500000000000000
1994-01-01,1131.1600000000000000
1994-02-01,1136.2750000000000000
1994-03-01,1139.6500000000000000
1994-04-01,1141.3500000000000000
1994-05-01,1143.0600000000000000
1994-06-01,1145.3500000000000000
1994-07-01,1149.4000000000000000
1994-08-01,1150.8600000000000000
1994-09-01,1152.5500000000000000
1994-10-01,1149.8600000000000000
1994-11-01,1150.9000000000000000
1994-12-01,1151.6000000000000000
1995-01-01,1150.6200000000000000
1995-02-01,1147.5000000000000000
1995-03-01,1147.4750000000000000
1995-04-01,1147.9500000000000000
1995-05-01,1146.1400000000000000
1995-06-01,1144.7500000000000000
1995-07-01,1144.9400000000000000
1995-08-01,1145.7750000000000000
1995-09-01,1143.3500000000000000
1995-10-01,1136.7200000000000000
1995-11-01,1135.1500000000000000
1995-12-01,1126.5500000000000000
1996-01-01,1124.7000000000000000
1996-02-01,1118.1750000000000000
1996-03-01,1121.4250000000000000
1996-04-01,1125.3800000000000000
1996-05-01,1117.1750000000000000
1996-06-01,1114.1500000000000000
1996-07-01,1113.7000000000000000
1996-08-01,1102.8250000000000000
1996-09-01,1096.3800000000000000
1996-10-01,1086.1500000000000000
1996-11-01,1083.7750000000000000
1996-12-01,1081.3800000000000000
1997-01-01,1081.7500000000000000
1997-02-01,1079.3000000000000000
1997-03-01,1072.6200000000000000
1997-04-01,1063.9750000000000000
1997-05-01,1063.4750000000000000
1997-06-01,1065.9600000000000000
1997-07-01,1064.8750000000000000
1997-08-01,1075.5250000000000000
1997-09-01,1067.6600000000000000
1997-10-01,1064.5750000000000000
1997-11-01,1071.3250000000000000
1997-12-01,1071.5000000000000000
1998-01-01,1075.0250000000000000
1998-02-01,1076.6250000000000000
1998-03-01,1077.2000000000000000
1998-04-01,1076.3000000000000000
1998-05-01,1079.3500000000000000
1998-06-01,1076.2200000000000000
1998-07-01,1074.6500000000000000
1998-08-01,1076.3000000000000000
1998-09-01,1079.5000000000000000
1998-10-01,1085.3000000000000000
1998-11-01,1094.1400000000000000
1998-12-01,1093.8500000000000000
1999-01-01,1099.7500000000000000
1999-02-01,1097.3250000000000000
1999-03-01,1096.4800000000000000
1999-04-01,1100.0750000000000000
1999-05-01,1104.1000000000000000
1999-06-01,1100.1000000000000000
1999-07-01,1098.1750000000000000
1999-08-01,1099.3400000000000000
1999-09-01,1095.8000000000000000
1999-10-01,1103.1000000000000000
1999-11-01,1109.4800000000000000
1999-12-01,1119.8250000000000000
2000-01-01,1125.6600000000000000
2000-02-01,1108.6750000000000000
2000-03-01,1106.0000000000000000
2000-04-01,1118.1750000000000000
2000-05-01,1105.1200000000000000
2000-06-01,1101.6250000000000000
2000-07-01,1104.1200000000000000
2000-08-01,1100.4500000000000000
2000-09-01,1099.8500000000000000
2000-10-01,1098.8200000000000000
2000-11-01,1093.0250000000000000
2000-12-01,1088.4500000000000000
2001-01-01,1095.0400000000000000
2001-02-01,1100.5500000000000000
2001-03-01,1108.0000000000000000
2001-04-01,1116.3000000000000000
2001-05-01,1117.7750000000000000
2001-06-01,1125.4750000000000000
2001-07-01,1137.4600000000000000
2001-08-01,1147.7000000000000000
2001-09-01,1207.6500000000000000
2001-10-01,1166.6600000000000000
2001-11-01,1169.7500000000000000
2001-12-01,1182.4600000000000000
2002-01-01,1190.7750000000000000
2002-02-01,1190.4250000000000000
2002-03-01,1194.7000000000000000
2002-04-01,1186.7600000000000000
2002-05-01,1186.8750000000000000
2002-06-01,1194.6750000000000000
2002-07-01,1199.2600000000000000
2002-08-01,1183.7750000000000000
2002-09-01,1197.1400000000000000
2002-10-01,1203.5750000000000000
2002-11-01,1206.4250000000000000
2002-12-01,1221.2400000000000000
2003-01-01,1224.1500000000000000
2003-02-01,1238.3000000000000000
2003-03-01,1240.0600000000000000
2003-04-01,1249.2500000000000000
2003-05-01,1266.9250000000000000
2003-06-01,1280.3400000000000000
2003-07-01,1286.0000000000000000
2003-08-01,1298.6750000000000000
2003-09-01,1295.9800000000000000
